"caseId","activity","timestamp"
"9","helper transition 15[{acquisition within group posted}->{XOR}]","63585303907988"
"8","helper transition 15[{acquisition within group posted}->{XOR}]","63585303907988"
"9","END FUNCTION","63585307507988"
"8","END FUNCTION","63585307507988"
"9","END EVENT","63585311107988"
"8","END EVENT","63585311107988"
"10","START EVENT","63585501907988"
"11","START EVENT","63585501907988"
"11","START FUNCTION","63585505507988"
"10","START FUNCTION","63585505507988"
"10","helper transition 16[{XOR}->{fixed asset was found}]","63585509107988"
"11","helper transition 16[{XOR}->{fixed asset was found}]","63585509107988"
"11","fixed asset was found","63585512707988"
"10","fixed asset was found","63585512707988"
"10","helper transition 13[{fixed asset was found}->{XOR}]","63585516307988"
"11","helper transition 13[{fixed asset was found}->{XOR}]","63585516307988"
"11","creation of master record for tangible assets","63585519907988"
"10","creation of master record for tangible assets","63585519907988"
"11","helper transition 4[{XOR}->{retirement within group to be posted}]","63585523507988"
"10","helper transition 4[{XOR}->{retirement within group to be posted}]","63585523507988"
"11","retirement within group to be posted","63585527107988"
"10","retirement within group to be posted","63585527107988"
"10","retirement","63585530707988"
"11","retirement","63585530707988"
"11","retirement from group posted","63585534307988"
"10","retirement from group posted","63585534307988"
"10","helper transition 7[{retirement from group posted}->{XOR}]","63585537907988"
"11","helper transition 7[{retirement from group posted}->{XOR}]","63585537907988"
"11","END FUNCTION","63585541507988"
"10","END FUNCTION","63585541507988"
"11","END EVENT","63585545107988"
"10","END EVENT","63585545107988"
"12","START EVENT","63585735907988"
"13","START EVENT","63585735907988"
"13","START FUNCTION","63585739507988"
"12","START FUNCTION","63585739507988"
"13","helper transition 16[{XOR}->{fixed asset was found}]","63585743107988"
"12","helper transition 16[{XOR}->{fixed asset was found}]","63585743107988"
"12","fixed asset was found","63585746707988"
"13","fixed asset was found","63585746707988"
"13","helper transition 13[{fixed asset was found}->{XOR}]","63585750307988"
"12","helper transition 13[{fixed asset was found}->{XOR}]","63585750307988"
"12","creation of master record for tangible assets","63585753907988"
"13","creation of master record for tangible assets","63585753907988"
"12","helper transition 17[{XOR}->{asset transfer within a client exists}]","63585757507988"
"13","helper transition 17[{XOR}->{asset transfer within a client exists}]","63585757507988"
"12","asset transfer within a client exists","63585761107988"
"13","asset transfer within a client exists","63585761107988"
"13","transfer within a client","63585764707988"
"12","transfer within a client","63585764707988"
"13","10 transition","63585768307988"
"12","10 transition","63585768307988"
"12","retirement is posted in source company code","63585771907988"
"13","retirement is posted in source company code","63585771907988"
"12","acquisition is posted in target company code","63585775507988"
"13","acquisition is posted in target company code","63585775507988"
"12","start 4 transition","63585779107988"
"13","start 4 transition","63585779107988"
"13","END FUNCTION","63585782707988"
"12","END FUNCTION","63585782707988"
"13","END EVENT","63585786307988"
"12","END EVENT","63585786307988"
"14","START EVENT","63586005907988"
"15","START EVENT","63586005907988"
"14","START FUNCTION","63586009507988"
"15","START FUNCTION","63586009507988"
"14","helper transition 16[{XOR}->{fixed asset was found}]","63586013107988"
"15","helper transition 16[{XOR}->{fixed asset was found}]","63586013107988"
"15","fixed asset was found","63586016707988"
"14","fixed asset was found","63586016707988"
"14","helper transition 13[{fixed asset was found}->{XOR}]","63586020307988"
"15","helper transition 13[{fixed asset was found}->{XOR}]","63586020307988"
"15","creation of master record for tangible assets","63586023907988"
"14","creation of master record for tangible assets","63586023907988"
"14","helper transition 17[{XOR}->{asset transfer within a client exists}]","63586027507988"
"15","helper transition 17[{XOR}->{asset transfer within a client exists}]","63586027507988"
"14","asset transfer within a client exists","63586031107988"
"15","asset transfer within a client exists","63586031107988"
"14","transfer within a client","63586034707988"
"15","transfer within a client","63586034707988"
"15","10 transition","63586038307988"
"14","10 transition","63586038307988"
"14","acquisition is posted in target company code","63586041907988"
"15","acquisition is posted in target company code","63586041907988"
"14","retirement is posted in source company code","63586045507988"
"15","retirement is posted in source company code","63586045507988"
"14","start 4 transition","63586049107988"
"15","start 4 transition","63586049107988"
"14","END FUNCTION","63586052707988"
"15","END FUNCTION","63586052707988"
"15","END EVENT","63586056307988"
"14","END EVENT","63586056307988"
"16","START EVENT","63586221907988"
"17","START EVENT","63586221907988"
"16","START FUNCTION","63586225507988"
"17","START FUNCTION","63586225507988"
"16","helper transition 9[{XOR}->{leased asset was bought}]","63586229107988"
"17","helper transition 9[{XOR}->{leased asset was bought}]","63586229107988"
"17","leased asset was bought","63586232707988"
"16","leased asset was bought","63586232707988"
"16","helper transition 5[{leased asset was bought}->{XOR}]","63586236307988"
"17","helper transition 5[{leased asset was bought}->{XOR}]","63586236307988"
"17","creation of master record for tangible assets","63586239907988"
"16","creation of master record for tangible assets","63586239907988"
"16","helper transition 19[{XOR}->{acquisition within group to be posted}]","63586243507988"
"17","helper transition 19[{XOR}->{acquisition within group to be posted}]","63586243507988"
"17","acquisition within group to be posted","63586247107988"
"16","acquisition within group to be posted","63586247107988"
"17","processing of asset acquisition","63586250707988"
"16","processing of asset acquisition","63586250707988"
